Controle,Base,natureza,data,HoraI,HoraF,local_ocorrencia,bairro,municipio,dinheiro_apreendido,total_armas,total_drogas_g,lat_long_str,area_faccao,lat,long,is_cvli,has_large_seizure,has_weapons_drugs
31367,FORTALEZA-2ªCIA/1ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-03,21:20,22:30,"Rua Conrado Cabral, 168",Monte Castelo,Fortaleza,0.0,0,0.0,"-3.7262468,-38.5491655",SEM_FACCAO,-3.7262468,-38.5491655,False,False,False
31365,IGUATU-2ªCIA/5ºBPRAIO,POSSE ILEGAL DE MUNIÇÃO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; TRÁFICO DE DROGAS,2025-01-03,17:00,21:40,"Rua Cicero Vieira, 285",Chapadinha,Iguatu,643.0,0,742.0,"-6.3759318,-39.2649371",SEM_FACCAO,-6.3759318,-39.2649371,False,False,False
31362,SÃO BENEDITO-2ºPEL/2ªCIA/4ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-03,14:00,15:30,Vila da Muricituba,Sítio Muricituba,São Benedito,0.0,0,0.0,"-4.0484353,-40.8646009",SEM_FACCAO,-4.0484353,-40.8646009,False,False,False
31363,CRATO-1ºPEL/1ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,2025-01-03,11:30,17:00,Rua Maria Ramaelle Caldas de Oliviera,Belmonte,Crato,0.0,1,9.0,"-7.2603158,-39.4610343",SEM_FACCAO,-7.2603158,-39.4610343,False,False,True
31361,QUIXERAMOBIM-1ºPEL/3ªCIA/3ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-03,11:40,15:20,Rua Paus Buraco,Oiticica,Quixeramobim,0.0,1,0.0,"-5.1983553,-39.2955573",SEM_FACCAO,-5.1983553,-39.2955573,False,False,False
31360,ACARAÚ-2ºPEL/5ªCIA/4ºBPRAIO,TRÁFICO DE DROGAS,2025-01-03,10:00,13:10,Rua Vigario Xavier,Outra Banda,Acaraú,0.0,0,26.95,"-2.8869514,-40.1194713",CV,-2.8869514,-40.1194713,False,False,False
31359,IGUATU-2ªCIA/5ºBPRAIO,RECEPTAÇÃO - Art. 180/CPB,2025-01-03,08:45,10:25,Rua Epitacio Pessoa,Centro,Iguatu,0.0,0,0.0,"-6.1335143,-39.8775923",PCC,-6.1335143,-39.8775923,False,False,False
31357,JUAZEIRO DO NORTE-1ªCIA/5ºBPRAIO,ROUBO,2025-01-03,00:01,02:10,Avenida Ailton Gomes,Franciscanos,Juazeiro do Norte,0.0,0,0.0,"-7.2146735,-39.3150761",SEM_FACCAO,-7.2146735,-39.3150761,True,False,False
31364,CRATEÚS-4ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-03,12:00,19:00,Riacho do Mato,Zona Rural,Crateús,0.0,1,0.0,"-5.1782451,-40.6696545",SEM_FACCAO,-5.1782451,-40.6696545,False,False,False
31383,CRATEÚS-4ªCIA/5ºBPRAIO,VEÍCULO CLONADO,2025-01-04,16:40,18:00,"Rua Moacir Bezerra, 29",Cidade Nova,Crateús,0.0,0,0.0,"-4.7048812,-40.5670655",CV,-4.7048812,-40.5670655,False,False,False
31392,PACATUBA-2ºPEL/2ªCIA/2ºBPRAIO,ACIDENTE DE TRÂNSITO COM VÍTIMA NÃO FATAL - Art. 303/CTB; POLICIAL MILITAR VÍTIMA,2025-01-04,22:05,04:00,"Rodovia CE 060, Km 17, 9684",Forquilha,Pacatuba,0.0,0,0.0,"-3.9533907,-38.611341",SEM_FACCAO,-3.9533907,-38.611341,False,False,False
31390,SÃO GONCALO-1ºPEL/1ªCIA/2ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-04,20:20,02:00,"Rua Professora Santa Dantas, S/N",Pecém,São Gonçalo do Amarante,0.0,0,0.0,"-3.5479197,-38.829833",CV,-3.5479197,-38.829833,False,False,False
31389,CAUCAIA-1ªCIA/2ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-04,23:40,00:50,"Rua 05, 788",Munguba,Caucaia,0.0,0,0.0,"-3.7300563,-38.6593082",SEM_FACCAO,-3.7300563,-38.6593082,False,False,False
31388,JUAZEIRO DO NORTE-1ªCIA/5ºBPRAIO,EMBRIAGUEZ AO VOLANTE - Art. 306/CTB,2025-01-04,21:00,23:45,"Rua Augusto Dias de Oliveira, 196",Novo Juazeiro,Juazeiro do Norte,0.0,0,0.0,"-7.2283233,-39.2899037",SEM_FACCAO,-7.2283233,-39.2899037,False,False,False
31387,ITAPAJÉ-1ºPEL/5ªCIA/4ºBPRAIO,TRÁFICO DE DROGAS; POSSE ILEGAL DE MUNIÇÃO DE USO RESTRITO,2025-01-04,10:35,22:50,"Localidade de Vila Gadelha, 704",Zona Rural,Tejuçuoca,0.0,0,3.5,"-3.9884273,-39.5797395",CV,-3.9884273,-39.5797395,False,False,False
31386,IBIAPINA-6ºPEL/2ªCIA/4ºBPRAIO,TRÁFICO DE DROGAS,2025-01-04,19:20,22:00,"Estrada do Canto Alegre, S/N",Sítio Pneu,Ibiapina,205.5,0,9.9,"-3.9228792,-40.8890296",SEM_FACCAO,-3.9228792,-40.8890296,False,False,False
31385,ITAITINGA-2ºPEL/4ªCIA/2ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-04,18:20,21:50,"Rua Carlos da Costa Carmo, S/N",Parque Santo Antônio,Itaitinga,0.0,0,0.0,"-3.9646193,-38.5262094",CV,-3.9646193,-38.5262094,False,False,False
31382,MARACANAU-2ªCIA/2ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-04,11:50,13:11,"Rua Luis Gonzaga, S/N",Macacos,Pacatuba,0.0,0,0.0,"-3.9841,-38.6180383",SEM_FACCAO,-3.9841,-38.6180383,False,False,False
31384,MARANGUAPE-1ºPEL/2ªCIA/2ºBPRAIO,"TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; VEÍCULO CLONADO",2025-01-04,09:10,16:45,"Rua José Feliciano, 349",Novo Maranguape,Maranguape,0.0,1,0.0,"-3.8768461,-38.673193",SEM_FACCAO,-3.8768461,-38.673193,True,False,False
31380,CARIRIAÇU-7ºPEL/1ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-04,10:00,16:32,"Rua Clemente Ferreira Borges, 03",Conjunto Santo Antônio,Caririaçu,0.0,1,0.0,"-7.0417053,-39.2835527",SEM_FACCAO,-7.0417053,-39.2835527,False,False,False
31379,SOBRAL-1ªCIA/4ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-04,12:30,15:50,"Rua José Maria de Melo, S/N",Dom Expedito,Sobral,0.0,1,42.0,"-3.6975298,-40.3451531",SEM_FACCAO,-3.6975298,-40.3451531,False,False,True
31381,CRATO-1ºPEL/1ªCIA/5ºBPRAIO,TRÁFICO DE DROGAS,2025-01-04,15:30,17:20,"Rua Padre Xavier, 251",Vila Alta,Crato,12.0,0,159.0,"-7.2264065,-39.4095531",PCC,-7.2264065,-39.4095531,False,False,False
31378,TAMBORIL-1ºPEL/4ªCIA/5ºBPRAIO,VEÍCULO CLONADO; VEÍCULO LOCALIZADO,2025-01-04,11:30,15:30,"Rua Vicente Alves do Vale, S/N",Centro,Tamboril,0.0,0,0.0,"-4.8330075,-40.3210323",CV,-4.8330075,-40.3210323,False,False,False
31377,ACARAÚ-2ºPEL/5ªCIA/4ºBPRAIO,POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006; Crime de Trânsito (Diversos),2025-01-04,10:10,14:00,"Rua Manoel Losada, S/N",Pedrinha,Acaraú,0.0,0,5.4,"-2.8869514,-40.1194713",CV,-2.8869514,-40.1194713,False,False,False
31376,CASCAVEL-2ºPEL/3ªCIA/2ºBPRAIO,PORTE ILEGAL DE ARMA BRANCA - Art. 19/Lei nº 3.688/1941,2025-01-04,11:00,14:00,"Av. Lauriano Paulo Santana, S/N",Caponga,Cascavel,0.0,0,0.0,"-4.04553,-38.200979",SEM_FACCAO,-4.04553,-38.200979,False,False,False
31375,TABULEIRO DO NORTE-4ºPEL/1ªCIA/3ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-04,09:00,14:00,"Água Suja, S/N",Zona Rural,Tabuleiro do Norte,0.0,0,0.0,"-5.2440865,-38.1284605",CV,-5.2440865,-38.1284605,False,False,False
31374,CAUCAIA-1ªCIA/2ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-04,10:50,12:10,"Rua Caio Prado, 3336",Potira,Caucaia,0.0,0,0.0,"-3.7586689,-38.6316874",MASSA,-3.7586689,-38.6316874,False,False,False
31373,FORTALEZA-2ªCIA/1ºBPRAIO,MANDADO DE PRISÃO,2025-01-04,10:30,12:30,"Rua dos Cavalos, 151",Jardim Iracema,Fortaleza,0.0,0,0.0,"-3.7213636,-38.5838061",CV,-3.7213636,-38.5838061,False,False,False
31370,CAUCAIA-1ªCIA/2ºBPRAIO,PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO - Art. 16/Lei nº 10.826/2003,2025-01-04,02:00,04:30,"Rua Carpina, 278",Marechal Rondon,Caucaia,0.0,1,0.0,"-3.7732656,-38.6212179",CV,-3.7732656,-38.6212179,False,False,False
31404,CANINDE-3ªCIA/4ºBPRAIO,RECEPTAÇÃO - Art. 180/CPB,2025-01-05,18:30,22:00,"Rua Cassiano dos Santos, 516",Palestina,Canindé,0.0,0,0.0,"-4.3547946,-39.3108516",SEM_FACCAO,-4.3547946,-39.3108516,False,False,False
31405,EUSEBIO-3ªCIA/2ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-05,19:03,22:00,"Av. São João, S/N",Precabura,Eusébio,0.0,1,45.0,"-3.8258948,-38.4361374",SEM_FACCAO,-3.8258948,-38.4361374,False,False,True
31406,FORTALEZA-1ªCIA/1ºBPRAIO,ABORDAGEM A VEÍCULO,2025-01-05,21:30,22:00,"Av. João Araújo Lima, 1478",José Walter,Fortaleza,0.0,0,0.0,"-3.8399529,-38.5477935",SEM_FACCAO,-3.8399529,-38.5477935,False,False,False
31409,QUIXERAMOBIM-1ºPEL/3ªCIA/3ºBPRAIO,RECEPTAÇÃO - Art. 180/CPB,2025-01-05,20:10,00:50,"Rua Conego Aureliano Mota, 450",Centro,Quixeramobim,0.0,0,0.0,"-5.1983553,-39.2955573",SEM_FACCAO,-5.1983553,-39.2955573,False,False,False
31408,JUAZEIRO DO NORTE-1ªCIA/5ºBPRAIO,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,2025-01-05,19:00,00:15,"Rua José Maria Filomeno Gomes, 99",Antônio Vieira,Juazeiro do Norte,0.0,0,3.0,"-7.2237266,-39.3342508",GDE,-7.2237266,-39.3342508,False,False,False
31402,ICO-2ºPEL/2ªCIA/5ºBPRAIO,FURTO - Art. 155/CPB,2025-01-05,17:50,21:00,"Rua do Cruzeirinho, 1261",Alto Manoel Mariano,Icó,0.0,0,0.0,"-6.4003992,-38.8575946",CV,-6.4003992,-38.8575946,False,False,False
31410,TAMBORIL-1ºPEL/4ªCIA/5ºBPRAIO,TRÁFICO DE DROGAS,2025-01-05,22:30,04:00,"Localidade de Nova Roma, Distrito de Sucesso",Zona Rural,Tamboril,0.0,0,118.0,"-4.8330075,-40.3210323",CV,-4.8330075,-40.3210323,False,False,False
31407,BARBALHA-2ºPEL/1ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-05,17:30,22:30,Localidade de Sítio Macaúba,Zona Rural,Barbalha,0.0,2,0.0,"-7.3121067,-39.3036427",SEM_FACCAO,-7.3121067,-39.3036427,False,False,False
31401,FORTALEZA-1ªCIA/1ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-05,17:05,20:20,"Rua Piratininga, 200",Pici,Fortaleza,0.0,0,0.0,"-3.7481817,-38.5747324",SEM_FACCAO,-3.7481817,-38.5747324,False,False,False
31403,LIMOEIRO DO NORTE-1ºPEL/1ªCIA/3ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-05,17:30,21:00,"Rua Hipólito Gerônimo de Oliveira, 1478, Condomínio Rei Davi, ap. 203",Luiz Alves de Freitas,Limoeiro do Norte,0.0,1,0.0,"-5.1455607,-38.0984936",SEM_FACCAO,-5.1455607,-38.0984936,False,False,False
31399,FORTALEZA-1ªCIA/1ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-05,17:30,18:20,"Rua Creusa Roque, 110",Vila Manoel Sátiro,Fortaleza,0.0,0,0.0,"-3.7982528,-38.5853935",GDE,-3.7982528,-38.5853935,False,False,False
31398,TIANGUÁ-2ªCIA/4ºBPRAIO,ROUBO,2025-01-05,12:30,17:40, Localidade de Sítio Jaburu,Zona Rural,Tianguá,0.0,0,0.0,"-3.7307332,-41.0004019",PCC,-3.7307332,-41.0004019,True,False,False
31397,NOVA RUSSAS-2ºPEL/4ªCIA/5ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO; APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-05,13:30,17:30,Localidade de Fazenda Nova,Zona Rural,Ararendá,0.0,3,11.1,"-4.7504395,-40.8303611",CV,-4.7504395,-40.8303611,False,False,True
31396,LAVRAS DA MANGABEIRA-3ºPEL/1ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-05,11:30,15:50,Localidade de Sítio Pau Amarelo,Zona Rural,Lavras da Mangabeira,202.0,3,0.0,"-6.7519554,-38.9634019",PCC,-6.7519554,-38.9634019,False,False,False
31395,FORTALEZA-2ªCIA/1ºBPRAIO,MANDADO DE PRISÃO,2025-01-05,14:28,16:00,"Rua Braz de Francesco, S/N",Presidente Kennedy,Fortaleza,0.0,0,0.0,"-3.7343381,-38.5673094",SEM_FACCAO,-3.7343381,-38.5673094,False,False,False
31394,FORTALEZA-2ªCIA/1ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-05,11:48,15:00,"Rua Olavo de Andrade, 550",Carlito Pamplona,Fortaleza,0.0,0,210.0,"-3.7144281,-38.5569305",CV,-3.7144281,-38.5569305,False,False,False
31393,SOBRAL-1ªCIA/4ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-05,10:00,11:00,"Rua Dr. João Alves de Melo, 193",Dom José 2,Sobral,0.0,0,58.0,"-3.6940905,-40.3674335",SEM_FACCAO,-3.6940905,-40.3674335,False,False,False
31391,FORTALEZA-1ªCIA/1ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-05,00:20,03:30,"Rua Carlos Chagas, 1612",Granja Portugal,Fortaleza,0.0,0,120.0,"-3.7760181,-38.5996645",CV,-3.7760181,-38.5996645,False,False,False
31400,IBIAPINA-6ºPEL/2ªCIA/4ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-05,15:00,19:15,"Rua Padre Ibiapina, 66",Centro,Ibiapina,0.0,0,0.0,"-3.6941816,-40.3556736",SEM_FACCAO,-3.6941816,-40.3556736,False,False,False
31428,SOBRAL-1ªCIA/4ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-06,19:40,21:10,Travessa Jacinto Antunes,Dom José 2,Sobral,0.0,0,0.0,"-3.6940905,-40.3674335",SEM_FACCAO,-3.6940905,-40.3674335,False,False,False
31429,ICO-2ºPEL/2ªCIA/5ºBPRAIO,RECEPTAÇÃO - Art. 180/CPB; ROUBO; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,2025-01-06,17:00,22:20,Travessa Lima Verde,Centro,Orós,2550.0,1,0.0,"-6.2427541,-38.9141151",PCC,-6.2427541,-38.9141151,True,False,False
31430,FORTALEZA-1ªCIA/1ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-06,21:00,22:20,"Rua Rosa Mística, 380",Bom Jardim,Fortaleza,92.0,0,3.9,"-3.7959549,-38.6056506",CV,-3.7959549,-38.6056506,False,False,False
31431,QUIXADA-3ªCIA/3ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-06,19:30,22:30,"Travessa Jose Cardoso, 884",Lagoa,Quixadá,0.0,1,0.0,"-4.9611659,-39.0381872",SEM_FACCAO,-4.9611659,-39.0381872,False,False,False
31432,PACATUBA-2ºPEL/2ªCIA/2ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-06,22:00,23:00,Rua Antônio Sales,Alvorada,Pacatuba,0.0,0,0.0,"-3.9841,-38.6180383",SEM_FACCAO,-3.9841,-38.6180383,False,False,False
31433,TAUA-3ªCIA/5ºBPRAIO,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,2025-01-06,20:40,23:30,Calçadão Beira Rio,Centro,Tauá,0.0,1,0.0,"-6.0031372,-40.2947268",SEM_FACCAO,-6.0031372,-40.2947268,False,False,False
31437,MARACANAU-2ªCIA/2ºBPRAIO,"TENTATIVA DE HOMICIDIO - Art. 121 c/c Art. 14, II/CPB",2025-01-06,18:30,02:00,"Rua 68, 269",Jereissati 2,Pacatuba,0.0,0,0.0,"-3.8931926,-38.6106944",GDE,-3.8931926,-38.6106944,True,False,False
31435,NOVA RUSSAS-2ºPEL/4ªCIA/5ºBPRAIO,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-06,19:00,01:00,Rua Maria Ana Ferreira Lima,Pantanal,Nova Russas,0.0,1,0.0,"-4.7051681,-40.565519",CV,-4.7051681,-40.565519,False,False,False
31436,BEBERIBE-1ºPEL/2ªCIA/3ºBPRAIO,TRÁFICO DE DROGAS,2025-01-06,20:30,01:00,Cutia,Zona Rural,Beberibe,730.0,0,11.9,"-4.1810469,-38.1298101",SEM_FACCAO,-4.1810469,-38.1298101,False,False,False
31438,FORTALEZA-1ªCIA/1ºBPRAIO,RECEPTAÇÃO - Art. 180/CPB,2025-01-06,23:20,04:00,Via Pública,Messejana,Fortaleza,0.0,0,0.0,"-3.8266615,-38.4935167",SEM_FACCAO,-3.8266615,-38.4935167,False,False,False
31449,CRATEÚS-4ªCIA/5ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-06,19:00,12:00,Rua Buriti dos Montes,Zona Rural,Crateús,0.0,0,0.0,"-5.1782451,-40.6696545",SEM_FACCAO,-5.1782451,-40.6696545,False,False,False
31427,FORTALEZA-2ªCIA/1ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-06,18:30,21:00,Rua Haroldo Torres,São Gerardo,Fortaleza,0.0,0,0.0,"-3.7281879,-38.5614819",SEM_FACCAO,-3.7281879,-38.5614819,False,False,False
31434,ITAPAJÉ-1ºPEL/5ªCIA/4ºBPRAIO,MANDADO DE PRISÃO; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,2025-01-06,18:00,00:32,Riacho Das Pedras,Zona Rural,Tejuçuoca,0.0,1,0.0,"-3.9884273,-39.5797395",CV,-3.9884273,-39.5797395,False,False,False
31426,ITAITINGA-2ºPEL/4ªCIA/2ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE DROGAS,2025-01-06,19:00,21:00,Rua Joaquim Henriques,Alto Do Ancuri,Itaitinga,0.0,0,472.0,"-3.965768,-38.529763",SEM_FACCAO,-3.965768,-38.529763,False,False,False
31415,JARDIM-2ºPEL/5ªCIA/5ºBPRAIO,FURTO - Art. 155/CPB,2025-01-06,09:25,11:40,"Avenida Leão Sampaio, 400",Triângulo,Juazeiro do Norte,0.0,0,0.0,"-7.2348211,-39.3237941",SEM_FACCAO,-7.2348211,-39.3237941,False,False,False
31424,SOBRAL-1ªCIA/4ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,2025-01-06,17:40,19:00,"Quadra 1, Bloco F",Caiçara,Sobral,0.0,1,0.0,"-3.6685936,-40.3773537",PCC,-3.6685936,-40.3773537,False,False,False
31411,TABULEIRO DO NORTE-4ºPEL/1ªCIA/3ºBPRAIO,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,2025-01-06,04:00,07:30,Zona Urbana,Centro,Tabuleiro do Norte,0.0,0,6.0,"-5.2455857,-38.1286196",CV,-5.2455857,-38.1286196,False,False,False
31412,GUARACIABA DO NORTE-3ºPEL/2ªCIA/4ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,2025-01-06,10:00,10:30,Sítio Garrancho Velho,Zona Rural,Guaraciaba do Norte,0.0,1,0.0,"-4.1632924,-40.7495985",CV,-4.1632924,-40.7495985,False,False,False
31413,CAUCAIA-1ªCIA/2ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-06,08:45,11:45,"Rua Ponte Nova, 98",Marechal Rondon,Caucaia,0.0,0,0.0,"-3.7716074,-38.62193",MASSA,-3.7716074,-38.62193,False,False,False
